Order_ID,Marketing_Spend,Website_Visits,Orders,Average_Order_Value,Revenue,Profit,Discount_Percent,Customer_Rating
ORD0001,20795.0,1875,92,895,94993.61,21352.58,20.52,4.12
ORD0002,5860.0,918,62,1462,74649.18,10163.24,24.74,4.33
ORD0003,43158.0,9520,524,2013,1044284.8,157380.59,15.87,3.87
ORD0004,49732.0,10384,569,836,461177.33,59966.99,20.56,4.05
ORD0005,16284.0,5623,308,2192,696687.32,170013.62,24.14,3.86
ORD0006,11265.0,2636,154,1078,155486.5,41094.25,23.72,4.05
ORD0007,21850.0,10003,545,1016,551570.75,153462.62,5.24,3.44
ORD0008,42194.0,5938,336,1666,550766.93,74900.46,11.35,3.96
ORD0009,26962.0,4136,240,1672,396657.33,124925.44,9.45,3.67
ORD0010,49131.0,8734,476,2096,986634.56,188117.16,4.0,3.84
ORD0011,21023.0,1230,57,861,56017.86,15312.56,16.56,3.63
ORD0012,46090.0,10173,553,1395,755822.25,111600.63,18.93,4.28
ORD0013,6685.0,2830,164,1528,230305.24,59117.99,21.51,3.91
ORD0014,5769.0,1073,60,2165,121523.69,20952.43,4.82,3.57
ORD0015,7433.0,500,35,1196,29886.47,10250.89,22.16,4.3
ORD0016,25506.0,500,49,1498,53334.33,10822.07,16.79,4.36
ORD0017,42819.0,6287,349,1842,638007.41,96153.97,18.19,3.97
ORD0018,44188.0,9293,501,976,464074.24,105181.94,22.94,3.7
ORD0019,22568.0,3680,215,1195,282841.21,47568.76,16.37,4.99
ORD0020,24769.0,3690,204,1244,231386.98,38899.49,9.72,4.15
ORD0021,33693.0,6967,394,2056,800369.51,168017.43,20.98,3.43
ORD0022,11396.0,4136,240,875,203946.68,27975.5,10.35,4.64
ORD0023,32480.0,6309,335,1064,381710.27,95613.48,2.79,3.61
ORD0024,46434.0,8924,507,1254,609823.27,144199.3,21.11,5.0
ORD0025,30658.0,7988,450,1517,684780.75,157090.31,9.94,4.04
ORD0026,23942.0,4626,247,1534,394455.38,120344.35,19.8,4.46
ORD0027,23431.0,3661,205,1650,333603.85,84316.71,10.34,3.06
ORD0028,7747.0,2606,146,2190,302192.74,69344.53,21.8,3.42
ORD0029,5189.0,500,28,943,24784.23,5908.37,7.05,4.6
ORD0030,24118.0,3679,213,1684,381598.52,74024.14,24.41,4.14
ORD0031,40773.0,9632,547,1892,1025687.21,200836.27,19.93,4.92
ORD0032,6899.0,716,39,1922,96500.75,31528.5,4.63,4.22
ORD0033,6267.0,500,43,1195,55265.0,19256.98,15.01,4.07
ORD0034,36551.0,7201,408,1848,772471.71,132238.64,24.66,4.77
ORD0035,16394.0,2239,126,1747,223402.25,48510.34,12.83,3.96
ORD0036,8556.0,1020,58,1690,90754.36,18518.75,6.19,3.91
ORD0037,8890.0,2415,119,1974,259488.9,77560.48,13.15,3.51
ORD0038,46606.0,8090,427,1967,843287.53,95204.21,13.79,2.93
ORD0039,35740.0,6820,377,1368,518232.44,89611.29,19.06,3.8
ORD0040,19502.0,500,17,1862,43767.33,944.4,18.07,3.47
ORD0041,26777.0,3122,171,908,169130.29,35452.15,11.26,5.0
ORD0042,15627.0,5340,287,1865,547447.85,156650.06,7.01,3.71
ORD0043,13792.0,2449,113,2009,206756.17,31661.77,16.84,3.7
ORD0044,48323.0,5686,317,1734,540119.47,159690.52,11.7,3.32
ORD0045,48021.0,6713,364,1197,425860.07,61868.18,5.04,3.88
ORD0046,13433.0,631,36,2046,61969.8,21238.11,22.71,3.7
ORD0047,48001.0,8824,475,1433,667593.44,83856.16,17.9,4.78
ORD0048,16016.0,2104,112,1956,209006.64,24926.01,17.71,4.08
ORD0049,28897.0,4015,240,1986,481679.23,123297.51,20.92,4.0
ORD0050,7612.0,1377,77,2038,164342.14,50147.87,14.18,3.94
ORD0051,28483.0,5987,336,1532,514727.46,152057.02,20.75,4.35
ORD0052,22159.0,3522,178,1034,177661.51,39640.24,13.46,3.8
ORD0053,49974.0,7961,467,1457,699550.95,209931.98,3.55,4.3
ORD0054,45994.0,7520,436,1550,674426.51,86405.49,11.32,4.73
ORD0055,19541.0,4129,243,1387,351097.09,105327.12,13.44,4.21
ORD0056,40920.0,7352,414,1832,749908.11,159944.9,18.56,3.89
ORD0057,31531.0,7057,388,1897,742241.69,188464.69,4.45,3.57
ORD0058,6585.0,500,33,1753,77980.33,29237.26,5.22,3.88
ORD0059,8943.0,500,40,1291,12508.18,500.0,8.06,4.25
ORD0060,28939.0,6601,356,1712,599645.72,139427.86,8.13,3.31
ORD0061,24457.0,2959,157,2076,334838.13,74475.25,18.84,4.37
ORD0062,6021.0,3575,177,2053,381573.23,116379.11,7.77,4.09
ORD0063,16653.0,5527,295,1997,592161.7,94297.14,16.56,3.93
ORD0064,48573.0,11249,639,1991,1272992.59,394471.27,13.37,3.7
ORD0065,18417.0,1730,91,969,112337.68,21675.12,15.19,3.79
ORD0066,45757.0,8375,457,1745,816574.9,116648.28,21.28,4.27
ORD0067,14692.0,1756,100,1594,146371.27,39924.41,11.3,3.94
ORD0068,25506.0,3799,190,1433,274016.16,65796.25,19.73,3.77
ORD0069,10675.0,4993,286,2017,582264.54,154589.19,11.71,4.21
ORD0070,5161.0,2501,153,828,152462.99,34058.33,10.14,4.23
ORD0071,42065.0,7588,422,1988,851927.06,122298.35,24.05,3.44
ORD0072,31557.0,5022,296,1138,335294.36,70683.0,6.24,4.26
ORD0073,38763.0,8146,432,2188,948517.11,286093.85,4.08,5.0
ORD0074,37606.0,4568,273,2165,562786.75,100021.88,19.73,4.21
ORD0075,16534.0,3942,208,1299,284721.43,68376.87,3.57,3.24
ORD0076,34127.0,4496,232,1310,313605.99,53367.79,21.25,4.08
ORD0077,45397.0,9288,508,2150,1110382.35,233942.93,12.06,3.18
ORD0078,30851.0,5263,312,1016,314831.26,74470.47,23.06,5.0
ORD0079,6016.0,500,27,2124,59268.62,19155.62,18.6,5.0
ORD0080,29253.0,3672,191,1955,366184.92,59596.1,16.04,3.7
ORD0081,29276.0,4628,239,1893,435206.18,105112.55,23.83,2.99
ORD0082,28247.0,6085,333,2075,681941.16,94561.57,11.12,3.6
ORD0083,29300.0,7153,369,1244,431746.49,58495.71,23.94,3.92
ORD0084,13529.0,3383,170,1675,298469.08,30388.39,5.11,3.21
ORD0085,22262.0,6462,374,2005,717246.76,95996.07,13.13,3.97
ORD0086,14268.0,7139,409,966,425576.14,81786.52,8.21,3.92
ORD0087,26271.0,4145,226,890,174678.1,39300.1,14.42,4.06
ORD0088,17185.0,2723,144,1513,240370.33,72673.61,5.73,4.1
ORD0089,26243.0,2132,118,838,85263.19,23333.51,21.36,3.96
ORD0090,44099.0,10081,583,1949,1144682.5,329256.54,21.47,3.62
ORD0091,13571.0,4782,268,972,249209.3,72516.4,23.97,4.02
ORD0092,44976.0,6535,370,1452,562346.22,111454.38,5.56,3.72
ORD0093,43044.0,8860,485,1553,753860.54,222870.63,16.34,4.41
ORD0094,45774.0,10430,574,2043,1188787.23,381760.04,12.91,4.02
ORD0095,7568.0,1770,105,1881,198645.72,33156.1,9.92,4.84
ORD0096,7027.0,2790,155,1275,202919.4,48830.99,10.09,4.37
ORD0097,7695.0,1700,71,1255,98346.6,22350.83,11.49,4.5
ORD0098,10258.0,500,43,1628,62073.14,30387.29,18.21,4.06
ORD0099,27002.0,6749,364,1694,597411.63,85394.44,15.76,4.07
ORD0100,44504.0,10396,597,2184,1284323.95,354772.81,12.57,4.78
ORD0101,38159.0,8191,459,1824,837978.64,237823.6,3.75,3.83
ORD0102,18986.0,1699,94,1186,104154.4,24553.09,3.79,4.25
ORD0103,17666.0,1828,106,1147,89394.15,25570.75,2.05,3.88
ORD0104,43660.0,5824,319,989,323185.12,91196.65,24.26,3.88
ORD0105,8561.0,2927,155,1304,183842.66,31483.93,2.12,3.47
ORD0106,31854.0,8017,443,2014,874797.12,144740.31,4.37,3.67
ORD0107,43952.0,8675,488,2192,1069071.61,270870.07,9.24,3.58
ORD0108,27662.0,6672,361,1623,572401.27,173246.13,20.57,4.27
ORD0109,13392.0,849,39,1728,69229.58,11401.5,24.13,4.47
ORD0110,35535.0,6659,362,1733,656947.91,161252.55,20.17,3.96
ORD0111,18067.0,786,55,1940,101014.14,17807.25,17.88,4.1
ORD0112,28599.0,3759,224,933,193098.31,42330.84,13.99,3.93
ORD0113,40222.0,8822,490,857,422652.6,111182.57,3.99,3.64
ORD0114,16837.0,2599,150,1484,210971.52,56223.17,24.04,4.39
ORD0115,19039.0,5604,301,1471,443127.27,99944.04,19.44,4.29
ORD0116,35818.0,7416,418,972,411030.54,98748.69,16.7,3.15
ORD0117,24115.0,9263,516,1614,832296.05,177722.57,19.46,3.87
ORD0118,15965.0,3042,159,1972,314396.38,74902.28,18.65,3.6
ORD0119,29538.0,2785,132,879,118909.36,31303.6,16.66,3.82
ORD0120,47530.0,8493,452,1685,785576.69,157981.89,24.55,3.7
